state,Avg_sex_ratio
Kerala,108042.86
Puducherry,107450
Uttarakhand,101046.15
Tamil Nadu,99937.5
Andhra Pradesh,99486.96
Chhattisgarh,99472.22
Karnataka,98433.33
Orissa,98393.33
Meghalaya,97971.43
Manipur,97555.56
Goa,97450
Mizoram,96550
Assam,95755.56
Tripura,95750
Jharkhand,95591.67
Himachal Pradesh,95283.33
West Bengal,94984.21
Maharashtra,94785.71
Lakshadweep,94600
Gujarat,93803.85
Madhya Pradesh,93556
Nagaland,93372.73
Rajasthan,93006.06
Arunachal Pradesh,91981.25
Bihar,91847.37
Uttar Pradesh,90915.49
Punjab,89695
Jammu and Kashmir,88309.09
Haryana,87976.19
Sikkim,87425
Delhi,86611.11
Andaman And Nicobar Islands,85766.67
Chandigarh,81800
Daman and Diu,78250
Dadra and Nagar Haveli,77400
State,NULL
