state,Previous_census,Current_census
Uttar Pradesh,163743784,196779476
Maharashtra,96864348,113322979
Bihar,81992854,102701363
West Bengal,80196781,91276115
Andhra Pradesh,76254236,84580777
Tamil Nadu,62376904,72147030
Rajasthan,59099299,71757578
Madhya Pradesh,56246182,67681327
Karnataka,53067258,61350527
Gujarat,49025491,58312606
Orissa,36809372,41974218
Kerala,31848359,33406061
Jharkhand,26098866,31923078
Assam,26666847,31205576
Chhattisgarh,22309288,27177482
Punjab,23645053,26748710
Haryana,21134922,25351462
Jammu and Kashmir,10138190,12541302
Himachal Pradesh,9419106,10600952
Uttarakhand,6349171,7508599
Tripura,3196246,3673917
Manipur,2290350,2855794
Meghalaya,2125101,2708049
Nagaland,1047514,1978502
Goa,1345063,1458545
Puducherry,975896,1247953
Arunachal Pradesh,974614,1207154
Mizoram,887531,1097206
Chandigarh,902094,1055450
Andaman And Nicobar Islands,250762,274984
Daman and Diu,157924,243247
Delhi,179752,142004
Lakshadweep,60824,64473
